* C:\Documents and Settings\Administrator\My Documents\Dsch2\Book on CMOS\spiceInv.sch
Transient Analysis  Mon Jun 02 15:24:38  2003
--------------------------------------------------------------------------------
Index   time            v(2)            v(4)            
--------------------------------------------------------------------------------
0	 0.000000e+00	 0.000000e+00	 1.200000e+00	
1	 1.000000e-12	 0.000000e+00	 1.200000e+00	
2	 2.000000e-12	 0.000000e+00	 1.200000e+00	
3	 4.000000e-12	 0.000000e+00	 1.200000e+00	
4	 8.000000e-12	 0.000000e+00	 1.200000e+00	
5	 1.600000e-11	 0.000000e+00	 1.200000e+00	
6	 3.200000e-11	 0.000000e+00	 1.200000e+00	
7	 6.400000e-11	 0.000000e+00	 1.200000e+00	
8	 1.280000e-10	 0.000000e+00	 1.200000e+00	
9	 2.280000e-10	 0.000000e+00	 1.200000e+00	
10	 3.280000e-10	 0.000000e+00	 1.200000e+00	
11	 4.280000e-10	 0.000000e+00	 1.200000e+00	
12	 5.280000e-10	 0.000000e+00	 1.200000e+00	
13	 6.280000e-10	 0.000000e+00	 1.200000e+00	
14	 7.280000e-10	 0.000000e+00	 1.200000e+00	
15	 8.280000e-10	 0.000000e+00	 1.200000e+00	
16	 9.280000e-10	 0.000000e+00	 1.200000e+00	
17	 1.000000e-09	 0.000000e+00	 1.200000e+00	
18	 1.000007e-09	 8.113530e-05	 1.200000e+00	
19	 1.000020e-09	 2.434059e-04	 1.200000e+00	
20	 1.000047e-09	 5.679471e-04	 1.200000e+00	
21	 1.000075e-09	 8.961300e-04	 1.200001e+00	
22	 1.000129e-09	 1.552496e-03	 1.200005e+00	
23	 1.000193e-09	 2.312391e-03	 1.200014e+00	
24	 1.000255e-09	 3.065351e-03	 1.200033e+00	
25	 1.000316e-09	 3.797383e-03	 1.200061e+00	
26	 1.000376e-09	 4.515103e-03	 1.200101e+00	
27	 1.000435e-09	 5.222242e-03	 1.200154e+00	
28	 1.000500e-09	 5.994274e-03	 1.200228e+00	
